Date,Boohoo,PrettyLittleThing,Missguided,ASOS,Nasty Gal
2018-12-23,57,44,34,61,36
2018-12-30,38,31,20,45,31
2019-01-06,44,33,26,44,28
2019-01-13,43,35,26,41,34
2019-01-20,46,39,26,41,40
2019-01-27,52,39,26,42,50
2019-02-03,54,38,24,41,49
2019-02-10,52,39,24,40,47
2019-02-17,55,41,28,40,49
2019-02-24,50,41,29,41,56
2019-03-03,51,40,28,41,39
2019-03-10,50,39,30,40,47
2019-03-17,57,38,30,41,50
2019-03-24,54,42,32,42,57
2019-03-31,55,41,31,45,61
2019-04-07,53,40,32,47,47
2019-04-14,58,44,29,45,60
2019-04-21,66,39,29,54,55
2019-04-28,65,42,34,53,62
2019-05-05,59,40,30,47,65
2019-05-12,59,40,30,46,61
2019-05-19,68,45,32,49,54
2019-05-26,68,48,30,52,66
2019-06-02,63,48,31,52,60
2019-06-09,62,41,34,48,80
2019-06-16,60,43,37,51,83
2019-06-23,70,50,33,50,80
2019-06-30,73,45,34,49,79
2019-07-07,65,42,33,45,52
2019-07-14,59,36,32,46,69
2019-07-21,66,36,30,45,58
2019-07-28,65,39,31,43,59
2019-08-04,70,39,28,42,76
2019-08-11,61,43,31,42,53
2019-08-18,72,43,29,42,68
2019-08-25,59,39,26,43,50
2019-09-01,60,47,30,41,54
2019-09-08,56,44,26,41,60
2019-09-15,52,42,26,46,56
2019-09-22,61,45,29,44,59
2019-09-29,60,44,33,46,59
2019-10-06,57,43,30,44,58
2019-10-13,56,44,31,45,63
2019-10-20,61,46,30,45,75
2019-10-27,64,44,32,45,54
2019-11-03,65,43,28,45,49
2019-11-10,61,47,31,47,61
2019-11-17,68,49,32,58,71
2019-11-24,85,65,43,74,90
2019-12-01,76,51,38,59,60
2019-12-08,68,46,30,55,55
2019-12-15,64,44,30,52,47
2019-12-22,55,43,30,54,44
2019-12-29,49,36,24,46,39
2020-01-05,44,33,21,37,45
2020-01-12,54,35,26,40,40
2020-01-19,49,43,27,39,55
2020-01-26,54,41,28,39,54
2020-02-02,57,45,25,43,53
2020-02-09,56,41,25,40,52
2020-02-16,54,41,26,38,62
2020-02-23,59,41,25,38,64
2020-03-01,62,39,25,39,57
2020-03-08,59,36,25,36,53
2020-03-15,34,21,15,23,34
2020-03-22,43,28,19,26,48
2020-03-29,56,42,25,35,69
2020-04-05,58,45,26,35,52
2020-04-12,66,43,25,35,86
2020-04-19,73,42,25,34,73
2020-04-26,71,47,27,38,80
2020-05-03,65,47,25,40,82
2020-05-10,63,47,26,36,80
2020-05-17,69,48,28,42,71
2020-05-24,87,58,31,47,68
2020-05-31,64,44,25,42,60
2020-06-07,57,36,21,36,63
2020-06-14,60,36,24,38,52
2020-06-21,61,36,25,38,63
2020-06-28,59,38,25,37,51
2020-07-05,100,38,22,36,52
2020-07-12,79,38,27,39,55
2020-07-19,73,40,27,37,51
2020-07-26,72,39,27,37,48
2020-08-02,65,37,24,36,50
2020-08-09,63,34,34,36,51
2020-08-16,60,30,34,36,48
2020-08-23,65,35,32,40,48
2020-08-30,60,29,27,37,53
2020-09-06,54,26,25,36,44
2020-09-13,49,30,19,34,42
2020-09-20,57,30,19,38,45
2020-09-27,64,33,25,39,42
2020-10-04,56,31,23,34,51
2020-10-11,50,30,21,36,39
2020-10-18,59,33,21,33,40
2020-10-25,61,33,21,38,43
2020-11-01,52,30,17,37,42
2020-11-08,61,35,20,39,44
2020-11-15,60,37,23,41,47
2020-11-22,91,100,36,65,60
2020-11-29,77,67,25,48,85
2020-12-06,69,40,21,44,43
2020-12-13,59,37,18,42,41
2020-12-20,58,40,18,44,27
2020-12-27,55,36,19,44,29
2021-01-03,46,29,17,33,36
2021-01-10,48,32,16,31,31
2021-01-17,46,28,17,30,34
2021-01-24,73,32,17,35,39
2021-01-31,54,33,17,40,39
2021-02-07,63,34,17,34,35
2021-02-14,54,31,18,32,44
2021-02-21,54,31,18,34,33
2021-02-28,55,34,17,38,42
2021-03-07,52,30,13,37,40
2021-03-14,49,28,16,35,41
2021-03-21,54,36,16,37,42
2021-03-28,60,39,17,42,45
2021-04-04,59,36,17,43,53
2021-04-11,54,30,14,37,43
2021-04-18,51,31,16,38,33
2021-04-25,55,27,16,40,42
2021-05-02,58,27,16,39,46
2021-05-09,50,29,15,38,37
2021-05-16,54,32,16,39,42
